state,date,total_enrolments_forecast,confidence_lower,confidence_upper,forecast_method
Uttar Pradesh,2026-01-11,22784.43,19366.76,26202.09,trend
Uttar Pradesh,2026-02-10,24957.98,21214.28,28701.68,trend
Uttar Pradesh,2026-03-12,27338.88,23238.05,31439.72,trend
Uttar Pradesh,2026-04-11,29946.92,25454.88,34438.95,trend
Uttar Pradesh,2026-05-11,32803.75,27883.18,37724.31,trend
Uttar Pradesh,2026-06-10,35933.11,30543.14,41323.07,trend
Bihar,2026-01-11,12409.56,10548.13,14271.0,trend
Bihar,2026-02-10,13604.39,11563.74,15645.05,trend
Bihar,2026-03-12,14914.27,12677.13,17151.41,trend
Bihar,2026-04-11,16350.27,13897.73,18802.81,trend
Bihar,2026-05-11,17924.52,15235.84,20613.2,trend
Bihar,2026-06-10,19650.35,16702.8,22597.91,trend
Madhya Pradesh,2026-01-11,12760.62,10846.53,14674.72,trend
Madhya Pradesh,2026-02-10,14254.05,12115.94,16392.16,trend
Madhya Pradesh,2026-03-12,15922.26,13533.92,18310.6,trend
Madhya Pradesh,2026-04-11,17785.7,15117.85,20453.56,trend
Madhya Pradesh,2026-05-11,19867.23,16887.15,22847.32,trend
Madhya Pradesh,2026-06-10,22192.37,18863.52,25521.23,trend
Maharashtra,2026-01-11,8880.3,7548.26,10212.35,trend
Maharashtra,2026-02-10,9685.36,8232.56,11138.16,trend
Maharashtra,2026-03-12,10563.4,8978.89,12147.91,trend
Maharashtra,2026-04-11,11521.04,9792.88,13249.19,trend
Maharashtra,2026-05-11,12565.49,10680.67,14450.31,trend
Maharashtra,2026-06-10,13704.63,11648.94,15760.32,trend
Gujarat,2026-01-11,5417.41,4604.79,6230.02,trend
Gujarat,2026-02-10,5935.34,5045.04,6825.64,trend
Gujarat,2026-03-12,6502.79,5527.38,7478.21,trend
Gujarat,2026-04-11,7124.5,6055.82,8193.17,trend
Gujarat,2026-05-11,7805.64,6634.8,8976.49,trend
Gujarat,2026-06-10,8551.91,7269.12,9834.69,trend
West Bengal,2026-01-11,10610.54,9018.96,12202.12,trend
West Bengal,2026-02-10,11650.19,9902.67,13397.72,trend
West Bengal,2026-03-12,12791.72,10872.96,14710.47,trend
West Bengal,2026-04-11,14045.09,11938.32,16151.85,trend
West Bengal,2026-05-11,15421.27,13108.08,17734.46,trend
West Bengal,2026-06-10,16932.29,14392.45,19472.13,trend
Rajasthan,2026-01-11,9944.56,8452.87,11436.24,trend
Rajasthan,2026-02-10,10763.8,9149.23,12378.37,trend
Rajasthan,2026-03-12,11650.53,9902.95,13398.11,trend
Rajasthan,2026-04-11,12610.31,10718.76,14501.86,trend
Rajasthan,2026-05-11,13649.16,11601.79,15696.53,trend
Rajasthan,2026-06-10,14773.59,12557.55,16989.63,trend
Assam,2026-01-11,4072.16,3461.34,4682.99,trend
Assam,2026-02-10,4530.74,3851.13,5210.35,trend
Assam,2026-03-12,5040.96,4284.82,5797.11,trend
Assam,2026-04-11,5608.64,4767.35,6449.94,trend
Assam,2026-05-11,6240.25,5304.21,7176.29,trend
Assam,2026-06-10,6942.98,5901.54,7984.43,trend
Karnataka,2026-01-11,5125.99,4357.09,5894.89,trend
Karnataka,2026-02-10,5604.3,4763.66,6444.95,trend
Karnataka,2026-03-12,6127.25,5208.16,7046.34,trend
Karnataka,2026-04-11,6698.99,5694.14,7703.84,trend
Karnataka,2026-05-11,7324.08,6225.47,8422.7,trend
Karnataka,2026-06-10,8007.5,6806.38,9208.63,trend
Meghalaya,2026-01-11,768.12,652.91,883.34,trend
Meghalaya,2026-02-10,853.24,725.25,981.23,trend
Meghalaya,2026-03-12,947.79,805.62,1089.96,trend
Meghalaya,2026-04-11,1052.81,894.89,1210.73,trend
Meghalaya,2026-05-11,1169.47,994.05,1344.89,trend
Meghalaya,2026-06-10,1299.06,1104.2,1493.92,trend
